"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-01","2020","01","01","","1.3","","-8.5","","-3.6","","21.6","","0.0","","","","","","0.7","","","","29","","32",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-02","2020","01","02","","-0.8","","-9.9","","-5.4","","23.4","","0.0","","","","","","1.2","","","","33","","72",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-03","2020","01","03","","-5.7","","-12.4","","-9.1","","27.1","","0.0","","","","","","0.0","","","","28","","38",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-04","2020","01","04","","5.6","","-7.1","","-0.7","","18.7","","0.0","","","","","","0.0","","","","28","","68",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-05","2020","01","05","","0.0","","-7.7","","-3.8","","21.8","","0.0","","","","","","0.0","","","","27","","36",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-06","2020","01","06","","-0.9","","-11.2","","-6.0","","24.0","","0.0","","","","","","0.0","","","","33","","54",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-07","2020","01","07","","-9.3","","-14.8","","-12.1","","30.1","","0.0","","","","","","0.9","","","","10","","40",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-08","2020","01","08","","-3.3","","-15.2","","-9.3","","27.3","","0.0","","","","","","0.4","","","","33","","61",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-09","2020","01","09","","-14.5","","-23.3","","-18.9","","36.9","","0.0","","","","","","0.0","","","","31","","51",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-10","2020","01","10","","-8.9","","-26.4","","-17.6","","35.6","","0.0","","","","","","0.4","","","","","","",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-11","2020","01","11","","-9.2","","-17.0","","-13.1","","31.1","","0.0","","","","","","0.0","","","","34","","41",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-12","2020","01","12","","-16.6","","-26.7","","-21.6","","39.6","","0.0","","","","","","0.0","","","","32","","53",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-13","2020","01","13","","-24.3","","-30.0","","-27.2","","45.2","","0.0","","","","","","1.4","","","","","","",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-14","2020","01","14","","-27.4","","-33.5","","-30.4","","48.4","","0.0","","","","","","0.0","","","","","","",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-15","2020","01","15","","-24.5","","-34.2","","-29.4","","47.4","","0.0","","","","","","0.4","","","","","","",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-16","2020","01","16","","-22.1","","-31.3","","-26.7","","44.7","","0.0","","","","","","0.0","","","","7","","32",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-17","2020","01","17","","-22.2","","-27.5","","-24.8","","42.8","","0.0","","","","","","0.0","","","","31","","39",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-18","2020","01","18","","-23.5","","-28.5","","-26.0","","44.0","","0.0","","","","","","0.0","","","","30","","43",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-19","2020","01","19","","-17.7","","-27.5","","-22.6","","40.6","","0.0","","","","","","0.0","","","","","","",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-20","2020","01","20","","3.2","","-18.7","","-7.8","","25.8","","0.0","","","","","","","M","","","22","","41",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-21","2020","01","21","","4.4","","-8.1","","-1.9","","19.9","","0.0","","","","","","0.0","","","","27","","34",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-22","2020","01","22","","2.0","","-9.7","","-3.8","","21.8","","0.0","","","","","","0.0","","","","31","","41",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-23","2020","01","23","","-3.4","","-13.6","","-8.5","","26.5","","0.0","","","","","","0.4","","","","28","","32",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-24","2020","01","24","","3.0","","-7.7","","-2.4","","20.4","","0.0","","","","","","0.0","","","","24","","32",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-25","2020","01","25","","2.0","","-3.0","","-0.5","","18.5","","0.0","","","","","","0.0","","","","27","","48",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-26","2020","01","26","","-0.2","","-2.2","","-1.2","","19.2","","0.0","","","","","","0.0","","","","","","",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-27","2020","01","27","","-2.2","","-10.8","","-6.5","","24.5","","0.0","","","","","","0.4","","","","","","",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-28","2020","01","28","","-3.2","","-14.6","","-8.9","","26.9","","0.0","","","","","","0.0","","","","","","",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-29","2020","01","29","","1.2","","-12.4","","-5.6","","23.6","","0.0","","","","","","0.0","","","","","","",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-30","2020","01","30","","1.8","","-4.1","","-1.2","","19.2","","0.0","","","","","","0.8","","","","31","","72",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-01-31","2020","01","31","","4.2","","-2.3","","0.9","","17.1","","0.0","","","","","","0.0","","","","26","","50",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-02-01","2020","02","01","","9.4","","-2.5","","3.5","","14.5","","0.0","","","","","","0.0","","","","27","","79",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-02-02","2020","02","02","","1.6","","-9.9","","-4.2","","22.2","","0.0","","","","","","0.5","","","","33","","60",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-02-03","2020","02","03","","-5.9","","-15.8","","-10.8","","28.8","","0.0","","","","","","0.4","","","","33","","31",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-02-04","2020","02","04","","-4.0","","-15.4","","-9.7","","27.7","","0.0","","","","","","0.0","","","","23","","36",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-02-05","2020","02","05","","2.0","","-6.9","","-2.5","","20.5","","0.0","","","","","","0.0","","","","","M","","M"
"-110.32","51.07","ACADIA VALLEY","3020035","2020-02-06","2020","02","06","","0.4","","-12.4","","-6.0","","24.0","","0.0","","","","","","0.0","","","","32","","54",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-02-07","2020","02","07","","0.5","","-10.0","","-4.8","","22.8","","0.0","","","","","","0.0","","","","27","","35",""
"-110.32","51.07","ACADIA VALLEY","3020035","2020-02-08","2020","02","08","","-2.1","","-10.2","","-6.2","","24.2","","0.0","","","","","","0.0","","","","34","","41",""
