"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-87.17","58.50","HUDSON BAY SITE 1","2302530","2023-01-01","2023","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-87.17","58.50","HUDSON BAY SITE 1","2302530","2023-01-02","2023","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-87.17","58.50","HUDSON BAY SITE 1","2302530","2023-01-03","2023","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-87.17","58.50","HUDSON BAY SITE 1","2302530","2023-01-04","2023","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-87.17","58.50","HUDSON BAY SITE 1","2302530","2023-01-05","2023","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-87.17","58.50","HUDSON BAY SITE 1","2302530","2023-01-06","2023","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-87.17","58.50","HUDSON BAY SITE 1","2302530","2023-01-07","2023","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-87.17","58.50","HUDSON BAY SITE 1","2302530","2023-01-08","2023","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-87.17","58.50","HUDSON BAY SITE 1","2302530","2023-01-09","2023","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-87.17","58.50","HUDSON BAY SITE 1","2302530","2023-01-10","2023","01","10","","","","","","","","","","","","","","","","","","","","","","",""
