"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-01","2019","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-02","2019","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-03","2019","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-04","2019","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-05","2019","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-06","2019","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-07","2019","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-08","2019","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-09","2019","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-10","2019","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-11","2019","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-12","2019","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-13","2019","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-14","2019","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-15","2019","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-16","2019","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-17","2019","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-18","2019","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-19","2019","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-20","2019","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-21","2019","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-22","2019","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-23","2019","01","23","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-24","2019","01","24","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-25","2019","01","25","","","M","","M","","M","","M","","M","","","","","","M","7","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-26","2019","01","26","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-27","2019","01","27","","","M","","M","","M","","M","","M","","","","","","M","7","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-28","2019","01","28","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-29","2019","01","29","","","M","","M","","M","","M","","M","","","","","","M","7","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-30","2019","01","30","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-01-31","2019","01","31","","","M","","M","","M","","M","","M","","","","","","M","7","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-01","2019","02","01","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-02","2019","02","02","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-03","2019","02","03","","-29.1","","-37.5","","-33.3","","51.3","","0.0","","","","","","0.0","","7","","25","","42",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-04","2019","02","04","","","M","","M","","M","","M","","M","","","","","","M","8","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-05","2019","02","05","","","M","","M","","M","","M","","M","","","","","","M","7","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-06","2019","02","06","","","M","","M","","M","","M","","M","","","","","","M","7","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-07","2019","02","07","","-28.1","","-32.0","","-30.1","","48.1","","0.0","","","","","","0.0","","7","","23","","51",""
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-08","2019","02","08","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-09","2019","02","09","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-10","2019","02","10","","","M","","M","","M","","M","","M","","","","","","M","7","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-11","2019","02","11","","","M","","M","","M","","M","","M","","","","","","M","7","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-12","2019","02","12","","","M","","M","","M","","M","","M","","","","","","M","7","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-13","2019","02","13","","","M","","M","","M","","M","","M","","","","","","M","7","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-14","2019","02","14","","","M","","M","","M","","M","","M","","","","","","M","7","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-15","2019","02","15","","","M","","M","","M","","M","","M","","","","","","M","7","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-16","2019","02","16","","","M","","M","","M","","M","","M","","","","","","M","7","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-17","2019","02","17","","","M","","M","","M","","M","","M","","","","","","M","7","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-18","2019","02","18","","","M","","M","","M","","M","","M","","","","","","M","7","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-19","2019","02","19","","","M","","M","","M","","M","","M","","","","","","M","8","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-20","2019","02","20","","","M","","M","","M","","M","","M","","","","","","M","7","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-21","2019","02","21","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-22","2019","02","22","","","M","","M","","M","","M","","M","","","","","","M","8","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-23","2019","02","23","","","M","","M","","M","","M","","M","","","","","","M","7","","","M","","M"
"-89.80","68.54","KUGAARUK CLIMATE","2303094","2019-02-24","2019","02","24","","","M","","M","","M","","M","","M","","","","","","M","8","","","M","","M"
