"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-01","2020","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-02","2020","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-03","2020","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-04","2020","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-05","2020","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-06","2020","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-07","2020","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-08","2020","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-09","2020","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-10","2020","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-11","2020","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-12","2020","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-13","2020","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-14","2020","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-15","2020","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-16","2020","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-17","2020","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-18","2020","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-19","2020","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-20","2020","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-21","2020","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-22","2020","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-23","2020","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-24","2020","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-25","2020","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-26","2020","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-27","2020","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-28","2020","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-29","2020","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-30","2020","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-01-31","2020","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-01","2020","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-02","2020","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-03","2020","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-04","2020","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-05","2020","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-06","2020","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-07","2020","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-08","2020","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-09","2020","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-10","2020","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-11","2020","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-12","2020","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-13","2020","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-14","2020","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-15","2020","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-16","2020","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-17","2020","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-18","2020","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-19","2020","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-20","2020","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-21","2020","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-22","2020","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-23","2020","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-24","2020","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-25","2020","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-26","2020","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-27","2020","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-28","2020","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-02-29","2020","02","29","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-03-01","2020","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-03-02","2020","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-03-03","2020","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-03-04","2020","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-03-05","2020","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-72.92","46.18","LAC SAINT-PIERRE","701LP0N","2020-03-06","2020","03","06","","","","","","","","","","","","","","","","","","","","","","",""
