"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-01","2019","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-02","2019","01","02","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-03","2019","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-04","2019","01","04","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-05","2019","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-06","2019","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-07","2019","01","07","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-08","2019","01","08","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-09","2019","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-10","2019","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-11","2019","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-12","2019","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-13","2019","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-14","2019","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-15","2019","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-16","2019","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-17","2019","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-18","2019","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-19","2019","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-20","2019","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-21","2019","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-22","2019","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-23","2019","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-24","2019","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-25","2019","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-26","2019","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-27","2019","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-28","2019","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-29","2019","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-30","2019","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-01-31","2019","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-02-01","2019","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-02-02","2019","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-02-03","2019","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-02-04","2019","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-02-05","2019","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-02-06","2019","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-02-07","2019","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-02-08","2019","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-02-09","2019","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-02-10","2019","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-02-11","2019","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-89.45","65.88","WAGER BAY (AUT)","2403945","2019-02-12","2019","02","12","","","","","","","","","","","","","","","","","","","","","","",""
