"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-93.58","69.55","TALOYOAK A","2403854","2019-01-01","2019","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-02","2019","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-03","2019","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-04","2019","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-05","2019","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-06","2019","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-07","2019","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-08","2019","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-09","2019","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-10","2019","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-11","2019","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-12","2019","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-13","2019","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-14","2019","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-15","2019","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-16","2019","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-17","2019","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-18","2019","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-19","2019","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-20","2019","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-21","2019","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-22","2019","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-23","2019","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-24","2019","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-25","2019","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-26","2019","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-27","2019","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-28","2019","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-29","2019","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-30","2019","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-01-31","2019","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-01","2019","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-02","2019","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-03","2019","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-04","2019","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-05","2019","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-06","2019","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-07","2019","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-08","2019","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-09","2019","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-10","2019","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-11","2019","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-12","2019","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-13","2019","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-14","2019","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-15","2019","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-16","2019","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-17","2019","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-18","2019","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-19","2019","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-20","2019","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-21","2019","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-93.58","69.55","TALOYOAK A","2403854","2019-02-22","2019","02","22","","","","","","","","","","","","","","","","","","","","","","",""
