"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-61.38","66.65","CAPE DYER","2400650","2023-01-01","2023","01","01","","-27.4","","-30.8","","-29.1","","47.1","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-02","2023","01","02","","-27.3","","-30.3","","-28.8","","46.8","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-03","2023","01","03","","-18.4","","-29.1","","-23.8","","41.8","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-04","2023","01","04","","-16.9","","-22.2","","-19.5","","37.5","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-05","2023","01","05","","-17.3","","-21.5","","-19.4","","37.4","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-06","2023","01","06","","-16.1","","-21.2","","-18.6","","36.6","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-07","2023","01","07","","-19.0","","-23.3","","-21.1","","39.1","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-08","2023","01","08","","-17.4","","-23.4","","-20.4","","38.4","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-09","2023","01","09","","-19.8","","-26.9","","-23.4","","41.4","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-10","2023","01","10","","-24.0","","-27.9","","-26.0","","44.0","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-11","2023","01","11","","-14.8","","-24.2","","-19.5","","37.5","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-12","2023","01","12","","-13.6","","-18.1","","-15.8","","33.8","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-13","2023","01","13","","-16.3","","-24.7","","-20.5","","38.5","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-14","2023","01","14","","-23.0","","-27.1","","-25.0","","43.0","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-15","2023","01","15","","-24.2","","-31.1","","-27.6","","45.6","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-16","2023","01","16","","-29.5","","-32.3","","-30.9","","48.9","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-17","2023","01","17","","-25.3","","-30.8","","-28.1","","46.1","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-18","2023","01","18","","-22.2","","-28.7","","-25.4","","43.4","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-19","2023","01","19","","-20.1","","-25.5","","-22.8","","40.8","","0.0","","","","","","","","","","","M","","M"
"-61.38","66.65","CAPE DYER","2400650","2023-01-20","2023","01","20","","-24.6","","-30.5","","-27.5","","45.5","","0.0","","","","","","","","","","","M","","M"
