"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-01","2019","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-02","2019","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-03","2019","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-04","2019","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-05","2019","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-06","2019","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-07","2019","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-08","2019","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-09","2019","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-10","2019","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-11","2019","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-12","2019","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-13","2019","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-14","2019","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-15","2019","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-16","2019","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-17","2019","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-18","2019","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-19","2019","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-20","2019","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-21","2019","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-22","2019","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-23","2019","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-24","2019","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-25","2019","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-26","2019","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-27","2019","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-28","2019","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-29","2019","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-30","2019","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-01-31","2019","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-02-01","2019","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-02-02","2019","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-02-03","2019","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-98.42","75.72","BATHURST ISLAND","2400552","2019-02-04","2019","02","04","","","","","","","","","","","","","","","","","","","","","","",""
